Mean(z_rock_height),species_cat_01
1.17031,Other Species
3.220194039,Other Species
1.10563173,Other Species
1.51788457,Other Species
0.85985,Other Species
2.730000002,Focus Species
3.32521084,Other Species
3.051797416,Other Species
2.216823051,Focus Species
2.575611923,Other Species
0.4660251,Other Species
0.612508,Focus Species
3.150036768,Focus Species
0.6372747,Focus Species
1.04575264,Focus Species
0.87,Other Species
3.720664174,Other Species
2.847171485,Focus Species
2.254026297,Focus Species
1.49494127,Other Species
0.895,Focus Species
2.83514031,Other Species
1.379837597,Other Species
0.90973,Other Species
1.89547195,Other Species
0.6367,Other Species
0.759776387,Other Species
1.433374228,Other Species
3.39,Other Species
1.24415519,Other Species
0.752500001,Focus Species
3.886250243,Focus Species
1.95,Other Species
0.538776075,Other Species
1.85667,Focus Species
1.48,Focus Species
1.572477004,Other Species
0.699757578,Other Species
3.342614241,Focus Species
2.810087575,Focus Species
3.649999999,Other Species
1.89888,Other Species
1.67868,Focus Species
1.45105588,Other Species
2.323100036,Focus Species
1.6236772,Focus Species
0.55,Other Species
1.09078613,Focus Species
2.912091641,Focus Species
1.98,Focus Species
0.749999997,Other Species
-0.151,Other Species
2.42526056,Other Species
1.926953364,Focus Species
0.98857,Focus Species
0.811382826,Focus Species
1.780000001,Focus Species
2.42026468,Other Species
0.7248,Focus Species
1.15004,Other Species
1.65667,Other Species
3.020334806,Focus Species
2.2756835,Other Species
0.7220795,Other Species
2.9691,Other Species
2.668408989,Focus Species
1.20987,Focus Species
2.886899803,Other Species
3.32521084,Other Species
-0.0499,Other Species
4.186250245,Other Species
2.159999999,Focus Species
2.5367,Focus Species
2.85667,Other Species
0.86,Focus Species
2.07765944,Other Species
3.735054102,Other Species
3.22287,Other Species
0.6601377,Other Species
0.1530058,Other Species
0.684,Other Species
0.0581776,Other Species
2.43304,Other Species
1.90990298,Other Species
1.22773948,Other Species
1.88003571,Focus Species
1.67667,Focus Species
0.335,Other Species
1.50978,Focus Species
3.384829664,Other Species
1.79,Other Species
0.70993224,Other Species
0.8290316,Focus Species
2.050140694,Focus Species
3.350376185,Focus Species
2.59027063,Focus Species
1.18,Other Species
3.691712884,Other Species
1.77299436,Other Species
0.55,Other Species
2.153430258,Focus Species
1.29063,Focus Species
1.631898355,Other Species
1.115,Focus Species
1.1139251,Other Species
0.2251,Focus Species
1.88743992,Focus Species
3.22718,Other Species
0.802264037,Other Species
0.7107,Other Species
1.83343,Focus Species
0.788052618,Other Species
1.957626962,Focus Species
3.218399075,Other Species
-0.151,Other Species
0.48,Other Species
2.23009689,Focus Species
0.6322971,Focus Species
3.438321332,Other Species
3.09416,Other Species
0.84138847,Other Species
1.72921,Focus Species
1.75,Focus Species
2.441976468,Focus Species
0.6954752,Other Species
1.77988411,Other Species
1.586955324,Focus Species
1.115,Focus Species
2.245922842,Other Species
1.01937272,Other Species
3.09667,Other Species
0.5445,Other Species
3.875844581,Focus Species
2.42,Other Species
1.4474187,Other Species
1.17,Other Species
1.85270405,Other Species
1.92766384,Other Species
3.040214633,Focus Species
-0.11,Focus Species
0.64,Other Species
1.005,Focus Species
0.5877,Focus Species
3.18157,Other Species
2.550697435,Other Species
2.197634862,Focus Species
3.732162115,Other Species
2.42649,Focus Species
2.976550864,Focus Species
1.12476,Other Species
1.12,Other Species
0.906457963,Other Species
2.260000001,Focus Species
0.895,Other Species
0.4672,Focus Species
2.43505,Other Species
-0.3289,Other Species
1.93394731,Other Species
0.7294936,Other Species
1.120000001,Focus Species
3.075323369,Focus Species
2.91911,Focus Species
0.989999999,Other Species
1.75060118,Other Species
-0.0250976,Other Species
3.019999999,Focus Species
3.007898277,Focus Species
1.98497795,Other Species
2.381769062,Other Species
2.523647536,Focus Species
3.582619389,Focus Species
3.423347469,Focus Species
1.566855359,Other Species
0.5741238,Other Species
1.76505624,Other Species
2.5167,Focus Species
2.39016861,Focus Species
1.601810985,Other Species
1.85845952,Other Species
1.108417727,Other Species
1.25895,Other Species
0.76,Other Species
0.4043,Other Species
0.5942,Other Species
2.41,Focus Species
2.736048153,Focus Species
1.45645,Focus Species
0.5737642,Other Species
1.586715078,Focus Species
1.27001,Other Species
2.287587702,Focus Species
2.80667,Focus Species
2.30131836,Other Species
1.630260464,Focus Species
3.030055227,Other Species
3.08173787,Other Species
3.660873421,Focus Species
0.92,Other Species
0.5607466,Focus Species
1.75,Other Species
1.72003453,Other Species
2.250000001,Other Species
2.16115,Other Species
1.06626242,Other Species
4.133285745,Other Species
0.87057273,Other Species
2.214543819,Other Species
0.51,Other Species
1.23501,Focus Species
2.53346,Focus Species
1.782855535,Other Species
0.564988127,Focus Species
2.14520644,Focus Species
0.689358745,Other Species
0.6467,Focus Species
1.7673153,Other Species
3.600000002,Other Species
3.357509373,Other Species
2.14667,Focus Species
1.62850256,Other Species
0.872089729,Focus Species
1.735794814,Focus Species
2.45722972,Other Species
2.58280256,Other Species
3.529999999,Focus Species
1.33942,Focus Species
0.4067,Other Species
2.070267507,Focus Species
0.2366,Other Species
2.5016,Focus Species
1.75,Focus Species
2.93593,Other Species
1.77,Other Species
1.779864899,Focus Species
1.569999993,Other Species
0.0192043,Other Species
1.35497102,Focus Species
2.0137,Focus Species
1.413380529,Other Species
1.04541,Focus Species
0.91748,Focus Species
1.92008757,Other Species
2.11057773,Other Species
0.705,Focus Species
0.7832309,Other Species
4.194952265,Other Species
0.895,Focus Species
2.594125444,Focus Species
1.86982079,Other Species
1.665,Focus Species
3.528007553,Focus Species
0.4523,Other Species
3.317307635,Focus Species
2.247994523,Focus Species
3.230889278,Focus Species
2.22669596,Focus Species
3.294803237,Other Species
1.40695,Focus Species
2.37667,Focus Species
3.248041665,Focus Species
1.019915107,Other Species
1.1,Other Species
1.93,Other Species
3.020000001,Focus Species
0.5,Other Species
3.200000001,Focus Species
1.087898059,Other Species
3.12659,Other Species
0.5442,Other Species
1.21,Other Species
1.735794814,Other Species
1.25788,Focus Species
2.07667,Other Species
3.23,Other Species
2.05637,Focus Species
0.93057241,Other Species
0.878006193,Other Species
3.729999999,Other Species
2.453095059,Focus Species
2.634044068,Focus Species
2.55575429,Other Species
1.46022224,Other Species
1.06350855,Other Species
0.072550992,Other Species
0.934165827,Other Species
1.76435844,Focus Species
3.209999999,Focus Species
1.99,Focus Species
2.19291496,Other Species
0.84065359,Focus Species
0.921006489,Focus Species
2.039999999,Other Species
2.63281,Focus Species
1.80012883,Other Species
0.469999999,Other Species
0.98179475,Other Species
0.685827,Other Species
-0.44,Other Species
2.102914672,Focus Species
3.588091732,Other Species
2.630347927,Focus Species
2.81646,Focus Species
1.339438237,Focus Species
2.11490798,Other Species
0.29,Other Species
3.009638821,Focus Species
1.3598749,Focus Species
0.7502,Other Species
0.1225,Focus Species
2.06481,Other Species
1.54748961,Other Species
1.927459423,Other Species
4.010087548,Focus Species
1.7485816,Other Species
0.74,Other Species
2.13667,Focus Species
1.706978768,Other Species
1.212697858,Other Species
-0.080435,Other Species
3.253014213,Other Species
1.97004337,Other Species
1.98701,Other Species
2.319864907,Focus Species
1.01961576,Other Species
3.349919814,Focus Species
1.955,Focus Species
3.17691,Other Species
1.53,Other Species
2.309733027,Focus Species
0.3,Other Species
2.260000001,Focus Species
1.916598106,Other Species
0.545,Other Species
2.120832256,Other Species
1.23870062,Other Species
3.32,Focus Species
3.37811112,Focus Species
2.71282,Focus Species
3.739845781,Focus Species
0.8253147,Focus Species
0.4525357,Focus Species
0.936206413,Other Species
3.17667,Other Species
1.933872512,Focus Species
3.04667,Other Species
0.7449,Focus Species
1.09608878,Other Species
2.951573047,Other Species
0.756317656,Other Species
2.41169,Focus Species
1.062524026,Other Species
2.574179785,Focus Species
0.8898,Other Species
2.936078606,Other Species
1.54570582,Other Species
-0.0541659,Other Species
3.06484,Focus Species
3.664023351,Other Species
2.37667,Focus Species
0.005,Focus Species
1.793216271,Focus Species
1.85974655,Other Species
2.04667,Focus Species
0.858518133,Other Species
0.668849724,Other Species
1.86498,Other Species
2.53341,Focus Species
0.9648,Other Species
1.44200776,Focus Species
-0.400283,Focus Species
0.98044856,Focus Species
3.02302,Other Species
1.42359,Focus Species
2.049999999,Focus Species
2.30827,Focus Species
1.64515293,Focus Species
2.699575067,Other Species
1.7,Other Species
1.13834,Focus Species
3.13,Other Species
0.84313738,Focus Species
2.109999999,Focus Species
1.39028992,Focus Species
1.87492,Focus Species
0.0417541,Other Species
1.13,Focus Species
-0.3328992,Other Species
1.825695397,Focus Species
2.973296759,Focus Species
3.139703386,Focus Species
2.17005,Focus Species
3.784016366,Focus Species
2.86467,Other Species
2.59066,Focus Species
-0.1507694,Other Species
1.281875756,Other Species
-0.0713051,Other Species
0.69,Other Species
3.281707586,Other Species
1.984952645,Other Species
2.152683165,Focus Species
2.64012,Focus Species
0.866091606,Other Species
0.68,Other Species
-0.383717,Other Species
0.649,Focus Species
2.287587702,Focus Species
2.13667,Focus Species
3.045405942,Other Species
-0.2255941,Other Species
1.782855535,Other Species
1.29786,Other Species
-0.2030036,Other Species
1.692319171,Other Species
1.07002,Other Species
0.37,Other Species
2.23,Other Species
3.756620935,Focus Species
0.42520441,Other Species
1.17802,Focus Species
1.92007,Other Species
1.58,Other Species
0.6718533,Other Species
2.870393788,Focus Species
2.000000002,Focus Species
2.378061218,Focus Species
3.564690525,Focus Species
3.172059436,Other Species
4.009999997,Other Species
3.274989533,Focus Species
1.76491426,Other Species
0.8876899,Other Species
2.668664693,Other Species
1.42359,Focus Species
3.143119385,Focus Species
0.6655475,Other Species
0.95523,Focus Species
0.0369206,Other Species
2.160325103,Focus Species
1.724046921,Other Species
1.92667,Focus Species
0.7599939,Other Species
2.37,Focus Species
2.92274,Other Species
1.69989753,Other Species
1.55660471,Other Species
1.710000002,Focus Species
2.12297,Other Species
1.285067291,Other Species
2.869999999,Focus Species
1.83760118,Other Species
0.56,Focus Species
3.180804726,Focus Species
3.208144281,Other Species
1.4,Other Species
1.94685968,Other Species
1.35282,Focus Species
0.989614539,Other Species
2.651089449,Focus Species
2.69719,Other Species
0.942137204,Other Species
3.530775331,Other Species
3.46215124,Focus Species
0.4346898,Focus Species
1.170000001,Other Species
2.710163835,Other Species
0.5947171,Other Species
-0.0499,Focus Species
3.84372776,Other Species
1.47450985,Other Species
2.56,Focus Species
0.5442,Focus Species
2.00652063,Focus Species
2.05764,Focus Species
3.870146748,Focus Species
0.8253147,Focus Species
3.670151049,Focus Species
1.157224813,Focus Species
4.120462843,Focus Species
2.536111094,Focus Species
1.23231768,Other Species
0.4221,Other Species
1.93761921,Other Species
0.845,Other Species
0.95,Other Species
1.78742545,Other Species
3.22242022,Other Species
-0.2922709,Focus Species
2.178880901,Focus Species
2.477679896,Other Species
2.390687175,Other Species
2.976754417,Focus Species
3.765097662,Other Species
2.890126397,Other Species
3.660163002,Focus Species
2.906436207,Focus Species
0.7109397,Focus Species
2.847171485,Focus Species
3.010035705,Focus Species
1.66667,Focus Species
2.27271,Focus Species
2.23576256,Other Species
3.522220398,Focus Species
0.570117,Focus Species
2.56999597,Other Species
3.303762847,Focus Species
2.302064722,Other Species
3.347978508,Focus Species
0.2162755,Other Species
2.574179785,Focus Species
1.18,Other Species
2.63155564,Other Species
1.12,Other Species
2.587453537,Focus Species
2.196618002,Focus Species
1.001703918,Other Species
0.010444,Other Species
2.49667,Focus Species
1.13939791,Other Species
2.41169,Focus Species
1.548384034,Other Species
3.17059,Other Species
1.48004,Focus Species
0.4597,Other Species
2.126631996,Other Species
1.79256,Focus Species
3.641364965,Other Species
0.298734,Other Species
0.96612376,Other Species
2.49175,Focus Species
1.3407,Focus Species
3.24295,Other Species
2.894736786,Focus Species
0.6278852,Other Species
2.180520339,Focus Species
0.66,Other Species
2.934865412,Other Species
2.38496782,Focus Species
0.600752633,Other Species
1.11667,Focus Species
3.269999998,Focus Species
0.894311314,Other Species
0.9224104,Other Species
1.08487,Other Species
3.668591499,Focus Species
1.84,Other Species
1.94669364,Focus Species
1.958298277,Focus Species
3.841180529,Other Species
2.767023835,Focus Species
2.070000001,Other Species
1.766765861,Other Species
1.31068,Other Species
3.909985824,Other Species
1.91,Focus Species
1.443375521,Other Species
2.22531838,Focus Species
0.97189,Focus Species
3.322897598,Focus Species
3.730175687,Other Species
1.05668594,Other Species
0.529999999,Other Species
0.4067,Focus Species
1.04471466,Other Species
3.27486,Other Species
1.059999997,Focus Species
