Mean(z_rock_height),species_cat_02
3.446262912,Balanus glandula
3.040293934,Balanus glandula
3.543402845,Balanus glandula
3.584020163,Balanus glandula
3.109278363,Balanus glandula
3.166845363,Balanus glandula
1.263064511,Balanus glandula
3.074096117,Balanus glandula
3.160000002,Balanus glandula
2.063762195,Balanus glandula
2.318061653,Balanus glandula
3.725589416,Balanus glandula
2.709999997,Balanus glandula
3.960398576,Balanus glandula
2.180520339,Balanus glandula
1.80467981,Balanus glandula
1.46213114,Balanus glandula
2.706824156,Balanus glandula
3.814429972,Balanus glandula
3.847560571,Balanus glandula
3.290028792,Balanus glandula
2.910637546,Balanus glandula
2.801238122,Balanus glandula
2.990000001,Balanus glandula
1.04526931,Balanus glandula
1.20987,Balanus glandula
2.237558244,Balanus glandula
3.679058147,Balanus glandula
2.92630857,Balanus glandula
3.552729826,Balanus glandula
1.975656669,Balanus glandula
2.23009689,Balanus glandula
3.364087361,Balanus glandula
3.56397522,Balanus glandula
1.729999998,Balanus glandula
2.867905008,Balanus glandula
3.801562421,Balanus glandula
3.404518524,Balanus glandula
3.900880864,Balanus glandula
2.907947145,Balanus glandula
4.00084806,Balanus glandula
2.385572343,Balanus glandula
0.7,Balanus glandula
1.26,Balanus glandula
1.940561106,Balanus glandula
3.375763349,Balanus glandula
1.7,Balanus glandula
3.432499999,Balanus glandula
3.560025618,Balanus glandula
2.16669,Balanus glandula
1.685,Balanus glandula
1.86498,Balanus glandula
3.794726537,Balanus glandula
3.282309886,Balanus glandula
3.086105883,Balanus glandula
1.16477,Balanus glandula
3.139999998,Balanus glandula
3.096939615,Balanus glandula
2.378061218,Mytilus californianus
3.729962923,Mytilus californianus
2.44667,Mytilus californianus
2.044034355,Mytilus californianus
2.22667,Mytilus californianus
2.549999999,Mytilus californianus
1.39669,Mytilus californianus
2.541032938,Mytilus californianus
1.09,Mytilus californianus
2.88412,Mytilus californianus
1.49490622,Mytilus californianus
3.006797455,Mytilus californianus
0.84466786,Mytilus californianus
2.449379852,Mytilus californianus
1.795179,Mytilus californianus
2.167718012,Mytilus californianus
2.400178372,Mytilus californianus
1.82667,Mytilus californianus
2.010680742,Mytilus californianus
3.203490066,Mytilus californianus
1.951161709,Mytilus californianus
2.134112281,Mytilus californianus
1.07,Mytilus californianus
2.938250066,Mytilus californianus
1.27804,Mytilus californianus
2.55185,Mytilus californianus
1.61,Mytilus californianus
1.33942,Mytilus californianus
2.979103964,Mytilus californianus
2.211090821,Mytilus californianus
1.826048803,Mytilus californianus
2.96473,Mytilus californianus
3.400785355,Mytilus californianus
3.048207644,Mytilus californianus
0.8367,Mytilus californianus
1.43592,Mytilus californianus
2.52667,Mytilus californianus
2.53341,Mytilus californianus
2.65643,Mytilus californianus
0.93010197,Mytilus californianus
2.073999948,Mytilus californianus
1.05508,Mytilus californianus
2.010680742,Mytilus californianus
3.04667,Mytilus californianus
2.49791838,Mytilus californianus
2.40201629,Mytilus californianus
2.694459399,Mytilus californianus
1.89011,Mytilus californianus
1.795050864,Mytilus californianus
3.116201308,Mytilus californianus
3.046872194,Mytilus californianus
2.309946405,Mytilus californianus
2.17262,Mytilus californianus
2.53346,Mytilus californianus
2.608828702,Mytilus californianus
2.195986956,Mytilus californianus
3.837018186,Mytilus californianus
2.936133997,Mytilus californianus
2.216823051,Pollicipes polymerus
0.8398,Pollicipes polymerus
2.379999996,Pollicipes polymerus
2.290232038,Pollicipes polymerus
0.663,Pollicipes polymerus
3.22201195,Pollicipes polymerus
1.375,Pollicipes polymerus
3.250133653,Pollicipes polymerus
1.41190022,Pollicipes polymerus
3.739845781,Pollicipes polymerus
1.535,Pollicipes polymerus
1.23299,Pollicipes polymerus
1.79292278,Pollicipes polymerus
1.255,Pollicipes polymerus
1.41,Pollicipes polymerus
1.19062676,Pollicipes polymerus
1.04,Pollicipes polymerus
2.152683165,Pollicipes polymerus
1.50004,Pollicipes polymerus
2.230000003,Pollicipes polymerus
1.29667,Pollicipes polymerus
0.6467,Pollicipes polymerus
-0.465,Pollicipes polymerus
0.577,Pollicipes polymerus
0.6216,Pollicipes polymerus
1.44744,Pollicipes polymerus
0.88851909,Pollicipes polymerus
1.24069,Pollicipes polymerus
2.86667,Pollicipes polymerus
1.04575264,Pollicipes polymerus
1.295,Pollicipes polymerus
3.249203681,Pollicipes polymerus
0.1051,Pollicipes polymerus
2.275329866,Pollicipes polymerus
2.54667,Pollicipes polymerus
2.321178039,Pollicipes polymerus
1.24667,Pollicipes polymerus
0.34160062,Pollicipes polymerus
2.21667,Pollicipes polymerus
2.236185348,Pollicipes polymerus
1.24667,Pollicipes polymerus
2.646431605,Pollicipes polymerus
1.14498,Pollicipes polymerus
1.87488791,Pollicipes polymerus
1.65028306,Pollicipes polymerus
1.44744,Pollicipes polymerus
0.6888,Pollicipes polymerus
2.009775389,Pollicipes polymerus
1.942535466,Pollicipes polymerus
1.48,Pollicipes polymerus
2.599999999,Pollicipes polymerus
1.17757,Pollicipes polymerus
2.630022658,Pollicipes polymerus
1.95800938,Pollicipes polymerus
1.73667,Pollicipes polymerus
1.54223847,Pollicipes polymerus
1.56,Pollicipes polymerus
2.598788004,Pollicipes polymerus
1.21516168,Egregia menziesii
0.850291,Egregia menziesii
0.6511789,Egregia menziesii
-0.25,Egregia menziesii
0.6201,Egregia menziesii
0.5291,Egregia menziesii
0.5502,Egregia menziesii
0.98101136,Egregia menziesii
0.699872329,Egregia menziesii
0.6,Egregia menziesii
0.376343919,Egregia menziesii
0.4326,Egregia menziesii
0.2699,Egregia menziesii
0.392441967,Egregia menziesii
-0.1475229,Egregia menziesii
0.505,Egregia menziesii
0.894311314,Egregia menziesii
-0.2922709,Egregia menziesii
0.2347,Egregia menziesii
-0.0208214,Egregia menziesii
0.55,Egregia menziesii
0.6980062,Egregia menziesii
0.88836,Egregia menziesii
0.5183,Egregia menziesii
0.5798,Egregia menziesii
-0.3168,Egregia menziesii
0.73,Egregia menziesii
0.33,Egregia menziesii
0.6202,Egregia menziesii
0.86499,Egregia menziesii
0.840000001,Egregia menziesii
1.84017503,Egregia menziesii
0.82,Egregia menziesii
0.469999999,Egregia menziesii
-0.1160773,Egregia menziesii
1.08432342,Egregia menziesii
0.936206413,Egregia menziesii
0.645,Egregia menziesii
0.8,Egregia menziesii
1.525095771,Egregia menziesii
0.975,Egregia menziesii
1.19,Egregia menziesii
0.525,Egregia menziesii
0.13,Egregia menziesii
1.194835683,Egregia menziesii
0.59,Egregia menziesii
0.1414334,Egregia menziesii
0.524971185,Egregia menziesii
1.19518,Egregia menziesii
0.5445,Egregia menziesii
0.4455,Egregia menziesii
0.373011174,Egregia menziesii
0.669999997,Egregia menziesii
1.39,Egregia menziesii
0.485743402,Egregia menziesii
0.5902,Egregia menziesii
-0.0499,Egregia menziesii
0.205,Egregia menziesii
1.364081634,Anthopleura elegantissima
2.209301754,Anthopleura elegantissima
1.75985298,Anthopleura elegantissima
1.2525,Anthopleura elegantissima
1.4325,Anthopleura elegantissima
0.91003,Anthopleura elegantissima
0.789222178,Anthopleura elegantissima
1.25008,Anthopleura elegantissima
1.55910521,Anthopleura elegantissima
2.0741865,Anthopleura elegantissima
1.44,Anthopleura elegantissima
0.87,Anthopleura elegantissima
